実質原系列(前年同期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Original Series (Year-over-Year Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
1994/ 1- 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4- 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7- 9.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/ 1- 3.,1.3 ,2.3 ,2.2 ,2.2 ,4.4 ,3.7 ,***,4.3 ,-7.3 ,***,***,4.0 ,9.7 ,,***,1.2 ,***,7.4 ,11.8 ,1.1 ,,1.6 ,2.1 ,0.1 ,,0.5 ,,1.7 ,,,,
4- 6.,2.9 ,2.4 ,2.3 ,2.3 ,-2.3 ,7.4 ,***,3.3 ,-5.4 ,***,***,5.1 ,10.7 ,,***,3.0 ,***,2.3 ,9.7 ,2.8 ,,3.2 ,4.2 ,0.1 ,,1.9 ,,2.0 ,,,,
7- 9.,2.8 ,2.3 ,2.2 ,2.3 ,-11.5 ,9.7 ,***,3.8 ,5.9 ,***,***,4.2 ,13.6 ,,***,3.2 ,***,26.0 ,27.1 ,3.4 ,,3.5 ,3.3 ,4.0 ,,4.1 ,,2.4 ,,,,
